Akkermansia,Allistipes et rel.,Anaerostipes caccae et rel.,Anaerotruncus colihominis et rel.,Bacteroides fragilis et rel.,Bacteroides ovatus et rel.,Bacteroides splachnicus et rel.,Bacteroides uniformis et rel.,Bacteroides vulgatus et rel.,Bifidobacterium,Bryantella formatexigens et rel.,Butyrivibrio crossotus et rel.,Clostridium cellulosi et rel.,Clostridium leptum et rel.,Clostridium nexile et rel.,Clostridium orbiscindens et rel.,Clostridium sphenoides et rel.,Clostridium symbiosum et rel.,Coprococcus eutactus et rel.,Dorea formicigenerans et rel.,Eubacterium rectale et rel.,Faecalibacterium prausnitzii et rel.,Lachnobacillus bovis et rel.,Lachnospira pectinoschiza et rel.,Oscillospira guillermondii et rel.,Outgrouping clostridium cluster XIVa,Parabacteroides distasonis et rel.,Prevotella melaninogenica et rel.,Prevotella oralis et rel.,Prevotella tannerae et rel.,Ruminococcus bromii et rel.,Ruminococcus callidus et rel.,Ruminococcus obeum et rel.,Sporobacter termitidis et rel.,Subdoligranulum variable at rel.,Sutterella wadsworthia et rel.,Tannerella et rel.,Uncultured Clostridiales I,Uncultured Clostridiales II
0.038679879,0.017553461,0.003244605,0.036186835,0.131211935,0.004922849,0.005907906,0.02932306,0.01519419,0.003701866,0.0054774,0.039698986,0.050361917,0.025677135,0.001354756,0.029091997,0.009011441,0.021043722,0.007034032,0.005579554,0.001843636,0.087961882,0.002801938,0.006190045,0.148402993,0.005681708,0.007474267,0.020277567,0.013272722,0.008704979,0.002067402,0.028245578,0.024906116,0.073633569,0.013180297,0.002310626,0.004502072,0.020776176,0.047508902
0.00221135,0.004787918,0.00210557,0.008640521,0.013953996,0.002543164,0.001782664,0.004568564,0.007532619,0.037535046,0.002275931,0.004605309,0.077475186,0.006205364,0.003018615,0.033381806,0.005506105,0.007798738,0.004766762,0.005487176,0.001103448,0.027382434,0.00136734,0.002535369,0.542737175,0.002850481,0.006381292,0.014321441,0.002646716,0.002424022,0.001166916,0.004567451,0.014035279,0.083101546,0.011648001,0.001791572,0.002171265,0.010675943,0.030909905
0.001398621,0.00282091,0.002154512,0.013833109,0.011052878,0.000926744,0.001252916,0.003712891,0.003627835,0.002337938,0.002360866,0.015571955,0.047996888,0.003243233,0.001857925,0.016997203,0.005171422,0.013790951,0.006342979,0.007191323,0.004184769,0.048573791,0.005732793,0.006528624,0.107575482,0.005672884,0.001153067,0.51593215,0.079550548,0.001144192,0.002988804,0.008097358,0.014923309,0.016926199,0.006432473,0.003245452,0.000900117,0.00221738,0.004577507
0.001500669,0.005724725,0.00147979,0.011947933,0.002780804,0.001744691,0.001642906,0.000695527,0.005483313,0.00628193,0.002749486,0.00554595,0.056246371,0.007169282,0.002462402,0.111106906,0.005157081,0.014840962,0.006869148,0.005620331,0.001589404,0.019234659,0.002481976,0.002992203,0.487057058,0.008705184,0.001871269,0.067748018,0.018349917,0.001969138,0.002254918,0.002624213,0.023021564,0.063353016,0.010953577,0.000764689,0.002017421,0.001625942,0.024335628
0.008127631,0.007540692,0.01716513,0.00683138,0.001435621,0.002274105,0.0024486,0.000151834,0.020593851,0.043408551,0.006818916,0.021288433,0.037332941,0.020299248,0.023503617,0.101855429,0.013022565,0.020447683,0.020276586,0.02528483,0.006622892,0.055664017,0.005529463,0.006071079,0.23955379,0.006312426,0.001923981,0.010626087,0.001143284,0.000789761,0.024148344,0.006140197,0.079920004,0.069836666,0.062445541,0.000509889,0.000943861,0.007682328,0.014028746
0.001923674,0.002588737,0.002677729,0.001281655,0.005449219,0.001560552,0.001814817,0.00182912,0.006842909,0.002854126,0.002825521,0.009291006,0.074822273,0.002359898,0.006780138,0.019516435,0.006165929,0.022008233,0.015202669,0.016587619,0.00336504,0.082583715,0.001775088,0.010949291,0.048315136,0.013557097,0.001005142,0.483574077,0.076478174,0.00088516,0.002256603,0.002275673,0.027272316,0.011758172,0.019974907,0.004197758,0.001038514,0.002708718,0.001647161
0.011302166,0.008352852,0.001482908,0.01354421,0.003325345,0.00210059,0.003012968,0.000571709,0.011997647,0.001792928,0.004266013,0.007475838,0.019831835,0.013414544,0.003169746,0.057980769,0.005306878,0.0149281,0.008336349,0.00431788,0.001073871,0.043082139,0.00213949,0.004057369,0.320469674,0.004418076,0.003496269,0.171257042,0.035720643,0.002385856,0.018071913,0.009934778,0.017656981,0.067162305,0.008147744,0.001376818,0.00246837,0.058897862,0.031671525
0.002380767,0.001406305,0.013077342,0.003306765,0.00130159,0.000754645,0.001775839,0.000703585,0.006431792,0.007355194,0.005543007,0.013794775,0.040211681,0.009391524,0.006578048,0.084744399,0.011820754,0.02808803,0.04394856,0.048452199,0.005195974,0.033675174,0.012107208,0.018111483,0.271532051,0.009375947,0.000805705,0.159494942,0.028164187,0.00052704,0.00787531,0.001832091,0.048813944,0.026969909,0.02362247,0.000794454,0.000664642,0.007989546,0.011381122
0.033454729,0.012821104,0.002578864,0.031686675,0.068620565,0.003674407,0.005789564,0.01615112,0.008669431,0.003064266,0.004363189,0.025672037,0.117130871,0.025346628,0.001228418,0.025956769,0.006502751,0.014111892,0.006662744,0.004129979,0.001388411,0.071570938,0.002326672,0.003801859,0.236837895,0.003839823,0.005832951,0.009157544,0.006744096,0.00584651,0.000900297,0.022019324,0.029010188,0.076243265,0.009887002,0.002199221,0.003313746,0.017116499,0.074347759
0.002406007,0.004947279,0.000936202,0.033552029,0.022779849,0.00181915,0.001935243,0.006842049,0.027662158,0.002810736,0.001722228,0.012190862,0.105446799,0.007813399,0.000746618,0.021588029,0.002047076,0.005325381,0.001687081,0.002364469,0.000771115,0.027476835,0.000993716,0.001365428,0.332958782,0.001443178,0.009613377,0.17399297,0.033040792,0.002032165,0.002784109,0.026264778,0.013476409,0.070530408,0.005729045,0.002891682,0.002401747,0.006390457,0.019220364
0.000624086,0.001118754,0.003719593,0.012289035,0.001455243,0.00063559,0.000726663,0.000371001,0.001896225,0.00864997,0.002475255,0.004779868,0.096075734,0.005647454,0.004324506,0.024392091,0.004494188,0.018717795,0.00896441,0.019478969,0.003130977,0.019463631,0.002009347,0.003062912,0.052719473,0.007238826,0.00060012,0.54251408,0.085687717,0.000341282,0.001399641,0.005925464,0.024570401,0.012284242,0.010356381,0.000522469,0.000438107,0.002619053,0.004279449
0.000810167,0.004957871,0.000963395,0.020511321,0.002560833,0.002155749,0.001988432,0.000445592,0.007025559,0.003615812,0.001919744,0.003480197,0.061489933,0.009579347,0.001218773,0.070407056,0.001983149,0.007936117,0.002581968,0.002800361,0.000988052,0.005660603,0.001880997,0.002418173,0.633036507,0.00525552,0.001886281,0.017226621,0.003328731,0.001743621,0.002890184,0.004151227,0.018669071,0.067166387,0.006639849,0.000723867,0.001762994,0.001879236,0.014260705
0.009756551,0.001946583,0.005728323,0.020335292,0.000889722,0.000909981,0.001127769,9.12E-05,0.003780051,0.030122231,0.020147893,0.02409846,0.063330632,0.028339411,0.007114398,0.037481429,0.010600689,0.018326243,0.021927337,0.011922609,0.005559495,0.153751351,0.005497029,0.006168963,0.201347245,0.004433414,0.000916734,0.006952323,0.001001148,0.00029376,0.032289978,0.011735211,0.081768301,0.04295651,0.049003917,0.00060778,0.000568949,0.049093395,0.028077728
0.000621938,0.003268004,0.00652984,0.00090875,0.002090947,0.001985063,0.001907963,0.000226159,0.010910138,0.002393178,0.002631674,0.005558383,0.049694428,0.001420693,0.00744887,0.009447297,0.004037974,0.010033256,0.006665536,0.009953072,0.002226643,0.032831157,0.001382657,0.002085807,0.068398842,0.005147184,0.001154441,0.612178687,0.100737588,0.001044445,0.000561287,0.000856322,0.013021644,0.007314202,0.007624658,0.001789744,0.001315837,0.001390881,0.001204813
0.022762596,0.0839382,0.036597055,0.001045166,0.028770044,0.033190789,0.007372121,0.053619361,0.276663917,0.003853937,0.033773843,0.022549591,0.002630064,0.003117447,0.001498252,0.021018847,0.009892072,0.048868278,0.007171752,0.007577905,0.00168779,0.072466646,0.002290701,0.005294425,0.075076853,0.001956753,0.029427108,0.003850326,0.003177016,0.008581553,0.00095852,0.002855704,0.021013432,0.013329025,0.032015654,0.007940734,0.008086949,0.001992855,0.002086722
0.032685146,0.014936927,0.004226013,0.001632572,0.024249977,0.006409691,0.003508927,0.022345094,0.286340602,0.002003434,0.004533336,0.00717735,0.222867413,0.015101611,0.001888026,0.043300103,0.005281544,0.028330757,0.001167049,0.007236999,0.00262975,0.033780875,0.006252788,0.002118842,0.084850929,0.00096865,0.024187734,0.00264142,0.002016401,0.006342262,0.001495119,0.009393446,0.027703144,0.012252715,0.021583919,0.018550889,0.004455533,0.001658506,0.001894509
0.005200485,0.021638551,0.010420258,0.02650632,0.039366491,0.027658769,0.024994636,0.003288577,0.044448838,0.001948072,0.020425827,0.031092005,0.10334186,0.010458834,0.004240915,0.010627602,0.004877414,0.020056947,0.005530789,0.00695809,0.006847185,0.027668413,0.007640397,0.007107571,0.111929773,0.003329564,0.007158201,0.070383756,0.012905979,0.001948072,0.003112576,0.014379088,0.027137997,0.036280436,0.014936025,0.002683421,0.002391693,0.215932242,0.00314633
0.071416357,0.010338674,0.002733011,0.044795075,0.002836778,0.010728896,0.002826547,0.000688368,0.032549139,0.001930646,0.005530328,0.022485228,0.10942275,0.013945664,0.005717401,0.008960477,0.00690268,0.028741923,0.003510531,0.004476585,0.004100978,0.012378933,0.001978875,0.003614298,0.042405517,0.002190793,0.00463735,0.329643525,0.054569609,0.001331429,0.003048696,0.017767495,0.014280348,0.016843825,0.058417747,0.006556304,0.00122474,0.02988628,0.004586197
0.001629206,0.044612118,0.011098374,0.002028428,0.031437789,0.020217747,0.020174023,0.011128791,0.245491167,0.001560768,0.011067957,0.009849379,0.125619982,0.023306966,0.001705249,0.005942706,0.007758216,0.037924197,0.002834477,0.00555489,0.003461826,0.102111505,0.001969496,0.006281094,0.044806026,0.011334105,0.007438838,0.002777445,0.001925771,0.006378048,0.003129141,0.115903677,0.027793462,0.01971967,0.014843457,0.000750918,0.00442186,0.002153898,0.001857333
0.003312219,0.029519696,0.001760686,0.001478013,0.010925381,0.0047915,0.008736248,0.021002742,0.190479873,0.001623786,0.002995321,0.00735584,0.30884767,0.019442335,0.001001398,0.027364789,0.002165048,0.023146241,0.001011539,0.003731793,0.002383074,0.012397056,0.001571815,0.002348849,0.112700391,0.001214354,0.01672842,0.007646119,0.018246995,0.043006882,0.003887707,0.002810253,0.036733566,0.026410292,0.026288603,0.00856132,0.003541654,0.001467872,0.001362662
0.000789827,0.005473648,0.001598293,0.001609165,0.058460389,0.009855362,0.033915957,0.002586935,0.075313912,0.001131542,0.001373848,0.00421008,0.005295801,0.002360938,0.001568004,0.007436177,0.00135055,0.005465105,0.00115018,0.002374917,0.000883022,0.035239325,0.00122862,0.002607904,0.022509677,0.001496555,0.004619361,0.530836642,0.087784943,0.001901176,0.000865159,0.000994856,0.006320168,0.024685001,0.023281641,0.00384895,0.001224736,0.025487254,0.000864383
0.005122874,0.112299214,0.002969384,0.023643282,0.049855846,0.015562791,0.009349442,0.020787652,0.069835448,0.004830643,0.011624532,0.005038539,0.057179281,0.009853492,0.00496401,0.015704003,0.011663757,0.086037617,0.002120148,0.004395238,0.001510189,0.01339361,0.001331712,0.005083649,0.266985702,0.00259674,0.011181282,0.010386961,0.00252025,0.002188793,0.001914213,0.020671936,0.016088415,0.036109204,0.047461118,0.02246455,0.005615157,0.006362406,0.003296919
0.071552158,0.005588008,0.002384133,0.002568732,0.003451049,0.002621921,0.002574989,0.000854158,0.006360818,0.034028653,0.003388473,0.008804398,0.470162353,0.020931564,0.001411082,0.012364954,0.00434901,0.011507667,0.002587504,0.007859505,0.001329733,0.006141803,0.002243338,0.002668853,0.110777722,0.002518671,0.002715784,0.007678036,0.001911687,0.000522507,0.003673192,0.002349717,0.048311552,0.025049044,0.090615839,0.002381005,0.001526847,0.005497273,0.006736272
0.122132391,0.087491115,0.002142328,0.003455765,0.030477142,0.03003687,0.015731724,0.07182334,0.190049856,0.002749854,0.002786749,0.098549563,0.005861273,0.00684758,0.000826432,0.024106728,0.006372873,0.020754267,0.001736491,0.00290481,0.001143723,0.021096154,0.001254406,0.002617035,0.118049424,0.001456095,0.025744834,0.00529802,0.003758298,0.005418541,0.002614575,0.001773385,0.006434364,0.038702108,0.019898319,0.001854553,0.007440348,0.002833481,0.005775186
0.002805389,0.013853773,0.009332056,0.003675098,0.055580569,0.012757016,0.00620726,0.028057739,0.291040842,0.003451899,0.00418307,0.021177032,0.202815395,0.015369992,0.00151237,0.01648599,0.003521167,0.01833316,0.001966466,0.005626171,0.002181969,0.028246305,0.01548544,0.00293623,0.034195731,0.002101156,0.011933486,0.005445303,0.002632217,0.006634418,0.005195165,0.074167715,0.026976375,0.013926891,0.029381544,0.007546458,0.005075869,0.004236946,0.003948325
0.01011127,0.028594448,0.004167904,0.007210146,0.019840208,0.022355719,0.031229745,0.003342528,0.106652402,0.001440716,0.010336074,0.03608683,0.101578717,0.005628312,0.002175843,0.006158325,0.003609996,0.010716765,0.002244761,0.003560769,0.005413353,0.008933099,0.024126258,0.003887309,0.066632317,0.00195432,0.015513136,0.276665152,0.045876482,0.003506619,0.00441404,0.003721577,0.011663568,0.015744504,0.008099518,0.002313679,0.003388473,0.078929275,0.002175843
0.002274013,0.012125275,0.004774275,0.01062847,0.017719703,0.007382424,0.009086624,0.003078454,0.022318006,0.001010789,0.003172724,0.017785692,0.017905101,0.012479313,0.001525086,0.007715513,0.003091023,0.010292238,0.002949618,0.002724416,0.001205614,0.015678224,0.002574631,0.002586153,0.042554729,0.001539751,0.006463811,0.612076045,0.085082225,0.004125903,0.012345239,0.003603226,0.005208966,0.017387661,0.008553472,0.002912957,0.001569079,0.00134702,0.003146538
0.002483174,0.084012974,0.018070341,0.001387845,0.019590914,0.018862843,0.016333279,0.008506191,0.394673869,0.001331146,0.007602867,0.023169416,0.095388925,0.004485692,0.001203573,0.009303848,0.003577214,0.012203247,0.00179505,0.003539844,0.001529594,0.060512382,0.001447122,0.008029401,0.101824302,0.002476731,0.017731433,0.010226501,0.002871049,0.010105371,0.001404598,0.011632387,0.01068525,0.012303759,0.009950736,0.000858222,0.005443138,0.001740928,0.001704846
0.003130872,0.007321056,0.003978817,0.001250863,0.014363042,0.004116701,0.005714338,0.012297261,0.10903478,0.001584426,0.001584426,0.010790446,0.019310349,0.002095505,0.00091152,0.008079831,0.001804875,0.008958324,0.001425075,0.0023432,0.001040322,0.009910301,0.009093731,0.003377742,0.132149734,0.000857027,0.016032511,0.472396802,0.068987354,0.007870941,0.000563095,0.000785195,0.004326417,0.028050702,0.009402525,0.009733612,0.002429894,0.001509292,0.001387095
0.002880343,0.014581342,0.003369854,0.006008593,0.087915586,0.017274704,0.037846781,0.023454521,0.155213925,0.0012742,0.002233264,0.019816801,0.025061714,0.00412513,0.001117682,0.01309495,0.002046283,0.024035421,0.001746904,0.003194428,0.001411809,0.015293549,0.013734677,0.005389876,0.080954232,0.001236383,0.012413206,0.280111768,0.049290419,0.00665147,0.001587235,0.001445424,0.00665042,0.02162148,0.017078269,0.008007605,0.002783701,0.026267634,0.001778417
0.005677381,0.047746857,0.031472256,0.003689043,0.074695604,0.042507613,0.007602172,0.010160756,0.283663357,0.002986687,0.019207775,0.027741406,0.030174569,0.004754284,0.001677294,0.01157383,0.007224237,0.023159366,0.00262882,0.003959952,0.005585406,0.0226627,0.027012293,0.004720838,0.174818182,0.003652253,0.040330308,0.005205799,0.002212423,0.006647302,0.001699034,0.003817809,0.010271126,0.018217787,0.007143968,0.007883115,0.006981757,0.005063655,0.003770985
0.007901038,0.011342639,0.002327352,0.002859458,0.057879925,0.031789657,0.103628815,0.000289241,0.006977176,0.001248496,0.004908553,0.027867208,0.018330799,0.017243399,0.001286329,0.010357756,0.002361524,0.027830595,0.002088149,0.004413061,0.001784263,0.017980537,0.009347243,0.005495578,0.076139939,0.001646355,0.001768397,0.385484985,0.076002031,0.000676116,0.004060357,0.00180501,0.007034536,0.017901209,0.027582849,0.004770645,0.001455968,0.012698533,0.003434279
0.000806632,0.003055154,0.001758043,0.001496553,0.002071241,0.001848161,0.00188805,0.000382633,0.012350622,0.001979645,0.002762639,0.003900196,0.005613919,0.00180975,0.002685817,0.008580432,0.006293499,0.00792449,0.00584734,0.00661556,0.001997373,0.049443853,0.001728496,0.00309061,0.048145265,0.017156432,0.001589625,0.657862663,0.095913806,0.001220289,0.001232107,0.001991464,0.015185651,0.008778396,0.006318614,0.001137557,0.001515758,0.003109816,0.002911851
0.001055893,0.005608273,0.001370808,0.00417726,0.003806772,0.003524274,0.002144203,0.000923134,0.020870865,0.004541574,0.005779624,0.003954967,0.048598858,0.002349516,0.00474843,0.013010329,0.003996647,0.006634836,0.004595604,0.005067977,0.001948153,0.041236938,0.001330672,0.002480731,0.091022904,0.002869744,0.012399023,0.568698643,0.079037594,0.002060844,0.001272011,0.002097892,0.014320933,0.010753435,0.009748484,0.002798734,0.002710742,0.00242207,0.004030609
0.00527273,0.001828185,0.001043859,0.001394993,0.001427435,0.001181259,0.00151331,0.000209917,0.004112462,0.00220031,0.00195986,0.008098974,0.004276579,0.001561018,0.000849209,0.006064689,0.002536177,0.004513212,0.001839635,0.003631562,0.001202251,0.014489988,0.001354918,0.001700327,0.005692563,0.001862535,0.001120193,0.758910493,0.135010887,0.00171941,0.000391209,0.00145606,0.005683022,0.002894944,0.002553352,0.002185044,0.000872109,0.00318692,0.002198402
0.008566251,0.007614223,0.002542731,0.005099434,0.00305966,0.00285209,0.003153466,0.000315347,0.031826056,0.001878109,0.004548575,0.024050168,0.044320169,0.005007624,0.02994196,0.028784359,0.011502168,0.011320544,0.018741168,0.025862413,0.002552711,0.028704524,0.002933921,0.002566682,0.179214667,0.006969559,0.002905979,0.29196904,0.051337628,0.002077695,0.004484708,0.003464821,0.050044308,0.035761901,0.010296665,0.003414924,0.002726351,0.036857631,0.010729768
0.003434453,0.002073317,0.002860349,0.003597964,0.002321126,0.001650369,0.001359683,0.000297953,0.020046423,0.000938189,0.003502764,0.008692233,0.087660677,0.001893092,0.012568529,0.016766033,0.004291976,0.014152767,0.012763289,0.011837454,0.00449255,0.041152395,0.010192172,0.005543379,0.137145581,0.007829623,0.002518066,0.453096386,0.065395594,0.000799386,0.003781096,0.002071137,0.018017435,0.008203155,0.012949328,0.00808034,0.000885865,0.001859663,0.00327821
